"x","y"
119.8,46.4
117.8,46.3
117.5,45.8
117.2,45.5
116.5,45.5
115.3,43.7
115.1,43.8
113.5,43.1
114.8,41.4
112,41.2
113.6,39.5
113.5,39.4
112.7,38.5
111.6,38.7
111.2,39.7
110.3,39.6
109.8,37.6
108.5,39.9
107.4,40.7
107.4,37.5
105.6,37.4
105.2,35.5
104,35.6
103,34.4
103.2,32.6
101.2,35.1
100.6,34.7
101.4,31.5
102.9,29
99.2,35.7
98.1,35.8
97.8,35.9
97.8,33.7
97.2,34.1
97.2,35.8
97.1,35.7
96.9,35.3
95.5,35.6
95.4,35.5
94.4,35.9
93.4,35.9
92.9,35.7
92.9,35.1
93.1,34.7
91.5,33.1
90.7,34.6
90.6,34.7
89.3,34.4
89.4,33.6
88.7,32.2
87.2,32.2
86.7,32.9
86.5,33
84.2,31.4
82.3,30.7
82.1,30.5
82,30
82.6,29.4
82.6,29.1
83.5,27.8
84.3,28.3
82.7,26.6
82.5,26.7
81.4,27.3
80.1,27.6
80.3,24.6
79.2,24.9
77.4,23.8
77.5,23.2
79.4,23
79.4,20.5
80,20.2
77.8,20.6
77.6,19.9
77.9,19.2
79.9,18.4
80.8,18.5
80.9,17.1
83.8,16.6
81.2,15
79.2,13.2
82.1,12.5
82.9,12.7
82.7,11.9
82.6,9.6
81.8,9
81.5,9
80.6,10.4
80.2,10.8
79.1,11.4
79,11.3
77.3,10.1
76.6,12
78.9,12.5
79,13.1
78.2,13.9
78.6,16.2
77.4,16.9
77.8,17.9
77,18.9
76.5,18.7
77.1,24.5
78,26.1
78.1,26.7
79.7,27.9
79.6,28.7
79.7,28.9
79.4,32.6
79.1,32.8
79.1,32.9
79,33.1
79.3,35.1
80.8,36.5
80.6,37.5
80.3,37.9
82.3,40.2
82,40.5
80.8,41.6
78.9,39.4
77.8,41.1
79.3,43
77.6,44
77.3,43.8
75.9,44.7
75.9,45.4
77.3,45
77.5,46.4
79.9,47.4
80,47.9
79.6,48.2
77.9,49.2
77.7,49.8
77.7,50.7
78.6,51.8
78.5,52.4
79.7,51.4
79.9,51.4
80.4,51.8
80.7,53.4
81.9,53.1
82.5,51.8
82.5,51.7
84.5,52.1
84.8,52.3
